timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
98.902,1.967719797,3.274099183,-15.9315205,-0.003436069,-0.003332733,0.879112475,-0.476590331,-0.204898534,-0.100869687,0.37832274,-0.012534239,-0.096252239,1.200586807
98.952,1.957668548,3.268746159,-15.91251218,-0.005114959,-0.001706705,0.864166017,-0.503177921,-0.19728848,-0.112779646,0.381866999,-0.038575903,-0.090158414,1.235838446
99.002,1.948005631,3.262793078,-15.89332406,-0.006037482,6.20E-05,0.84804395,-0.529891503,-0.189775934,-0.125047275,0.385570837,-0.05343463,-0.051466574,1.253665113
99.052,1.938685618,3.256191363,-15.87393884,-0.005757632,0.001354905,0.831041079,-0.556179593,-0.183421694,-0.138723321,0.389780287,-0.057447076,0.006094185,1.247754082
99.102,1.929684818,3.24897641,-15.85437507,-0.004370193,0.001444405,0.814127109,-0.580668465,-0.176693995,-0.14765537,0.391972586,-0.013058866,0.078420296,1.102369455
99.152,1.921044214,3.241514352,-15.83476824,-0.00252828,-0.000778626,0.799599949,-0.600527204,-0.16909492,-0.150369809,0.39234647,0.057323525,0.130426588,0.878318048
99.202,1.912780851,3.233970745,-15.81512818,-0.00112689,-0.004459917,0.787493939,-0.616305229,-0.161988078,-0.151018176,0.393401122,0.100620125,0.124423056,0.744571551
99.252,1.904849956,3.22641839,-15.79540818,-0.000706668,-0.008045246,0.776148179,-0.630498834,-0.155469187,-0.151208251,0.395467468,0.099476355,0.067423312,0.723390681
99.302,1.897256148,3.218827706,-15.77560084,-0.001253089,-0.010081396,0.764328202,-0.644747388,-0.148497279,-0.152498213,0.396280761,0.059041175,-0.002691489,0.764642714
99.352,1.890018801,3.2111607,-15.75580994,-0.002140555,-0.010140352,0.751161016,-0.660037666,-0.14125646,-0.154105947,0.395291171,0.000465578,-0.059800439,0.851294048
99.402,1.883151553,3.203411539,-15.73607296,-0.002962768,-0.008242666,0.736021561,-0.676901428,-0.133626575,-0.155891288,0.394347587,-0.057316564,-0.099946079,0.956610471
99.452,1.876683763,3.19555898,-15.7163646,-0.00337122,-0.005067213,0.718715254,-0.695277888,-0.125283758,-0.15820424,0.394123937,-0.094320368,-0.106526759,1.05547932
99.502,1.870650035,3.187536852,-15.69664797,-0.003145225,-0.001652406,0.699700853,-0.714427109,-0.116379613,-0.163455338,0.394645211,-0.109486028,-0.079345013,1.078754925
99.552,1.865064621,3.179140076,-15.67688504,-0.002138584,0.001101565,0.680572944,-0.732676382,-0.107429158,-0.172384851,0.395965565,-0.099918583,-0.028318177,1.03536103
99.602,1.859930303,3.170272026,-15.65704398,-0.000643934,0.002381956,0.661670876,-0.749790347,-0.098222808,-0.181810815,0.397522669,-0.059439643,0.031549635,1.014356885
99.652,1.855270104,3.160967527,-15.63713413,0.000803472,0.001732695,0.642259675,-0.766484743,-0.088539632,-0.189665998,0.398829424,0.001759223,0.080828279,1.039120936
99.702,1.851099739,3.151314737,-15.61716436,0.001638051,-0.000585527,0.621735027,-0.783225721,-0.078528237,-0.196442079,0.399744125,0.056880983,0.102624355,1.072210672
99.752,1.847442954,3.141280521,-15.59716832,0.001843106,-0.003591169,0.600384109,-0.799701587,-0.068126975,-0.204898752,0.40008858,0.07576959,0.092590058,1.082144247
99.802,1.844319632,3.130801234,-15.57719086,0.001670208,-0.006119744,0.578393795,-0.815733031,-0.057126673,-0.213625148,0.398407395,0.062477545,0.059116702,1.09863632
99.852,1.841769006,3.119930892,-15.55737336,0.001322784,-0.00744965,0.555407556,-0.831543865,-0.045222065,-0.220611757,0.394232037,0.036282149,0.00431343,1.133540137
99.902,1.839839747,3.108784728,-15.53776724,0.000592785,-0.007113181,0.531858685,-0.846803041,-0.032322448,-0.224335979,0.390530522,0.016986644,-0.06272809,1.090043593
99.952,1.838581303,3.097535674,-15.51829236,-0.000704169,-0.005302582,0.509662674,-0.860357685,-0.018293674,-0.225444788,0.38883886,0.009100566,-0.115882095,0.995043732
100.002,1.838067595,3.08623354,-15.49889057,-0.002233699,-0.002684401,0.489015524,-0.87226809,-0.002617323,-0.226859253,0.387001108,-0.005131515,-0.121605816,0.917623674
100.052,1.838380038,3.0748161,-15.47960013,-0.003036807,-0.000300115,0.46953577,-0.882908177,0.014698484,-0.230001857,0.384841155,-0.02916576,-0.078765397,0.864705347
100.102,1.839600576,3.063195211,-15.46042498,-0.002639666,0.001108886,0.45073573,-0.892652847,0.033626962,-0.234951965,0.381953335,-0.053032802,-0.010733476,0.832243164
100.152,1.84179689,3.051297612,-15.44143558,-0.001043314,0.001157887,0.432240269,-0.901757129,0.053433801,-0.24062651,0.37759239,-0.061726568,0.05602387,0.822945435
100.202,1.844990359,3.039128728,-15.42268243,0.001055628,-7.21E-05,0.413486197,-0.910509772,0.073629732,-0.245879865,0.372765993,-0.047779351,0.097817104,0.833376784
100.252,1.849203059,3.026705665,-15.40416683,0.002915226,-0.002079218,0.394198739,-0.919018244,0.093957377,-0.25071363,0.36804176,-0.019534699,0.105624114,0.855009449
100.302,1.854365883,3.014079286,-15.38587759,0.003970579,-0.004304838,0.37377088,-0.927502578,0.110962869,-0.253737479,0.363925337,0.01683489,0.094142862,0.921769821
100.352,1.860275539,3.001374653,-15.36775451,0.003988944,-0.006411969,0.351149735,-0.936288865,0.124604938,-0.25400387,0.36139083,0.053770847,0.064120252,1.015162061
100.402,1.866842205,2.988721389,-15.34975215,0.002886155,-0.007818796,0.326223479,-0.945255933,0.137487944,-0.25183204,0.358419591,0.080391271,0.014014334,1.097060792
100.452,1.874040544,2.976234678,-15.33194839,0.000978923,-0.008104099,0.299288938,-0.95412761,0.149847303,-0.247464497,0.353717643,0.086848315,-0.0384329,1.165545479
100.502,1.881857384,2.963994035,-15.31438792,-0.001064314,-0.007203503,0.270986615,-0.962555573,0.162579195,-0.242586508,0.349169171,0.060693559,-0.077820735,1.178533959
100.552,1.89034492,2.95197133,-15.29700937,-0.002242623,-0.005357694,0.242962157,-0.970018379,0.176599738,-0.238528676,0.346386181,0.005785425,-0.092090248,1.138857877
100.602,1.899545989,2.940204936,-15.27972585,-0.002175509,-0.003222737,0.216135097,-0.976355725,0.190631932,-0.231471415,0.345231556,-0.034408884,-0.075309992,1.06133688
100.652,1.909439272,2.928876852,-15.26247039,-0.001324695,-0.001667731,0.191230855,-0.981542777,0.20482913,-0.222095466,0.345109629,-0.051151496,-0.037248061,0.981620812
100.702,1.920080722,2.918021782,-15.24521867,-7.30E-06,-0.001087966,0.167995552,-0.985787153,0.220329473,-0.212299248,0.344818438,-0.056867061,0.007541116,0.909135383
100.752,1.93152219,2.907674862,-15.22799295,0.001458331,-0.001552369,0.146399385,-0.989223273,0.236915605,-0.202020413,0.344297864,-0.048469966,0.043815084,0.848937301
100.802,1.943818275,2.897847776,-15.21081659,0.002594003,-0.002716124,0.12573429,-0.992056844,0.254234085,-0.191355384,0.342368304,-0.023048879,0.059563416,0.826940269
100.852,1.956967325,2.888561759,-15.19379374,0.002925769,-0.004099088,0.105082463,-0.99445076,0.270770409,-0.180624983,0.338444311,0.014895632,0.05502484,0.841764201
100.902,1.970919998,2.879807387,-15.1769973,0.002336218,-0.005232894,0.083733473,-0.996471708,0.286794417,-0.169846796,0.333523298,0.044752831,0.032788874,0.871817856
100.952,1.985679296,2.871612808,-15.1604639,0.001222487,-0.00569184,0.061570736,-0.998085744,0.302852676,-0.158268774,0.327907571,0.052858374,0.000677691,0.905122311
101.002,2.001224298,2.864037738,-15.14421514,0.000149529,-0.005364924,0.038668521,-0.99923768,0.318171715,-0.14479287,0.322428468,0.039244654,-0.027649308,0.922318949
101.052,2.017517144,2.857197668,-15.12821475,-0.000389478,-0.004454582,0.015633461,-0.999867791,0.332929446,-0.129187384,0.317931366,0.010604419,-0.044190855,0.919891969
101.102,2.034479576,2.851136296,-15.11240747,-0.000106812,-0.00343296,-0.007772511,-0.999963895,0.34393228,-0.114272072,0.314729274,-0.025516953,-0.031982038,0.965709961
101.152,2.051833232,2.8457785,-15.09673282,0.001007954,-0.003126543,-0.033084867,-0.999447147,0.349262498,-0.100652308,0.312402945,-0.052342736,0.007330899,1.058731113
101.202,2.069357236,2.841124724,-15.08116985,0.002457075,-0.003873973,-0.059948325,-0.99819094,0.351254856,-0.085637837,0.310218222,-0.054659146,0.047363846,1.067387764
101.252,2.086946712,2.8372777,-15.06571403,0.00360186,-0.00534617,-0.085681685,-0.996301708,0.352280048,-0.068687609,0.308118191,-0.034166952,0.064908471,0.994847536
101.302,2.104575254,2.834281353,-15.0503505,0.004070296,-0.006856341,-0.109762499,-0.993925861,0.352623088,-0.052184005,0.306657924,-0.005509182,0.057334957,0.956261289
101.352,2.122182956,2.83206137,-15.03504038,0.003936831,-0.00787332,-0.133748053,-0.990976271,0.351465905,-0.037426066,0.305818715,0.017386808,0.033217,0.983634051
101.402,2.139705123,2.830566873,-15.01976308,0.003447413,-0.008069206,-0.158723051,-0.987284152,0.349452839,-0.022809466,0.30538562,0.032035129,-0.00214514,1.03435914
